"","time","assetCode","assetName","volume","price","mcap","mkres1","mkres10","mkres1_raw","mkres10_raw","mkres10_pred","active_rate","points"
"434964","2016-01-04 22:00:00+00:00","FB.O","Facebook Inc",37912403,102.22,3875405834.66,-0.00780516904825198,-0.026648586893885,-0.0233135868526657,-0.037657691583506,-0.0256641331594503,1,1763
"436434","2016-01-05 22:00:00+00:00","FB.O","Facebook Inc",23258238,102.73,2389318789.74,0.00295654245099392,-0.0165155265832192,0.00498923889649783,-0.0125913110342176,0.0132098900561534,1,1768
"436950","2016-01-06 22:00:00+00:00","FB.O","Facebook Inc",25096183,102.97,2584153963.51,0.0150861162851487,-0.00609294216820952,0.00233622116226995,-0.0171804905984537,0.0131945101960807,1,1769
"440139","2016-01-07 22:00:00+00:00","FB.O","Facebook Inc",45172906,97.92,4423330955.52,-0.0211170053381212,-0.029000716552315,-0.0490434107021462,-0.0719363093545636,0.00848356393018324,1,1765
"441118","2016-01-08 22:00:00+00:00","FB.O","Facebook Inc",35402298,97.33,3445705664.34,0.00674941346659073,-0.00365234617043317,-0.00602532679738566,-0.0697696645321609,0.0226137244929422,1,1770
"443148","2016-01-11 22:00:00+00:00","FB.O","Facebook Inc",29932385,97.51,2918706861.35,0.000855089828544492,-0.00496290123725958,0.00184937840336996,-0.0715101885355169,0.000844701576348876,1,1774
"445718","2016-01-12 22:00:00+00:00","FB.O","Facebook Inc",28395390,99.37,2821649904.3,0.00976811135639564,-0.00367676351932318,0.0190749666700851,-0.0619276880959124,0.0945162655620454,1,1782
"446620","2016-01-13 22:00:00+00:00","FB.O","Facebook Inc",33410553,95.44,3188703178.32,-0.00908233570345148,-0.0115228996155257,-0.0395491597061488,-0.110199515196718,0.135611007474415,1,1785
"448595","2016-01-14 22:00:00+00:00","FB.O","Facebook Inc",48658623,98.37,4786548744.51,0.0100496724167674,0.00161401199286589,0.0306999161777033,-0.0739032197326304,0.176540008426363,1,1780
"449595","2016-01-15 22:00:00+00:00","FB.O","Facebook Inc",46132781,94.97,4381230211.57,-0.00570585708404128,-0.00345991411843681,-0.034563383145268,-0.0925855150009555,0.137204192003959,1,1783
