"","time","assetCode","assetName","volume","price","mcap","mkres1","mkres10","mkres1_raw","mkres10_raw","mkres10_pred","active_rate","points"
"433590","2016-01-04 22:00:00+00:00","GOOG.O","Alphabet Inc",3272776,741.84,2427876147.84,-0.00890313338953764,0.00268093225576309,-0.0224541429475016,-0.0101276970497577,-0.0111726751125698,1,1763
"435686","2016-01-05 22:00:00+00:00","GOOG.O","Alphabet Inc",1950691,742.58,1448544122.78,-0.00077947197156732,-0.000548874289304701,0.000997519680793646,0.00442304310776276,0.0310167240222996,1,1768
"437292","2016-01-06 22:00:00+00:00","GOOG.O","Alphabet Inc",1947034,743.62,1447853423.08,0.012076915098116,0.00730331899149254,0.0014005225026259,-0.00554983484226435,0.0394623601003209,1,1769
"439722","2016-01-07 22:00:00+00:00","GOOG.O","Alphabet Inc",2963741,726.39,2152831824.99,-0.00306796605510199,0.00782882860199867,-0.0231704365132729,-0.0314800000000001,0.00746832975990784,1,1765
"440925","2016-01-08 22:00:00+00:00","GOOG.O","Alphabet Inc",2450857,714.47,1751063800.79,-0.0069415621976022,0.0088545487461399,-0.0164099175374109,-0.0477669230051577,0.0182897649619184,1,1770
"442525","2016-01-11 22:00:00+00:00","GOOG.O","Alphabet Inc",2090621,716.03,1496947354.63,0.00144713378066525,0.0106122077210999,0.0021834366733382,-0.0432522715125602,0.00103944163813014,1,1774
"445054","2016-01-12 22:00:00+00:00","GOOG.O","Alphabet Inc",2024509,726.07,1469935249.63,0.00701775294457799,-0.000365254894405857,0.0140217588648521,-0.0477895371863974,0.0142843722505951,1,1782
"446503","2016-01-13 22:00:00+00:00","GOOG.O","Alphabet Inc",2501730,700.56,1752611968.8,-0.00992753134223547,-0.0131808915837626,-0.0351343534369966,-0.0979139840329643,0.0359008397484878,1,1785
"448052","2016-01-14 22:00:00+00:00","GOOG.O","Alphabet Inc",2225768,714.72,1590800904.96,0.0033232949058784,-0.00619886360741444,0.0202124015073657,-0.0729961089494163,0.0721711137020974,1,1780
"450991","2016-01-15 22:00:00+00:00","GOOG.O","Alphabet Inc",3608109,694.45,2505651295.05,-0.00425880886216157,-0.00492234939336764,-0.0283607566599507,-0.0849014336917562,0.0828592996515362,1,1783
"452127","2016-01-19 22:00:00+00:00","GOOG.O","Alphabet Inc",2268078,701.79,1591714459.62,0.00997613137312001,0.0112037622681855,0.0105695154438763,-0.0539873827240376,0.0939459688026389,1,1791
"454072","2016-01-20 22:00:00+00:00","GOOG.O","Alphabet Inc",3444962,698.45,2406133708.9,0.00825609852477969,0.0174620318920485,-0.0047592584676327,-0.0594279404239274,-0.00824813057524282,1,1791
"454682","2016-01-21 22:00:00+00:00","GOOG.O","Alphabet Inc",2412211,706.59,1704444170.49,0.00569328773707093,0.00998994791424471,0.01165437755029,-0.0497969392969527,-0.0520117821088424,1,1791
"457740","2016-01-22 22:00:00+00:00","GOOG.O","Alphabet Inc",2011797,725.25,1459055774.25,0.00299429575472217,0.0167963101635672,0.0264085254532331,-0.00156940486515511,-0.0549285527162451,1,1791
"458510","2016-01-25 22:00:00+00:00","GOOG.O","Alphabet Inc",1711716,711.67,1218176925.72,-2.48910966581424e-05,0.0194416259035977,-0.0187245777318167,-0.00391898890086362,-0.0380807641127815,1,1793
"461479","2016-01-26 22:00:00+00:00","GOOG.O","Alphabet Inc",1331691,713.04,949548950.64,-0.0148322313863759,0.00650982898340801,0.00192504953138384,-0.00417580268983142,-0.00742360057990329,1,1793
"462030","2016-01-27 22:00:00+00:00","GOOG.O","Alphabet Inc",2194227,699.99,1535936957.73,-0.00525343761570893,-0.00582621683702816,-0.0183019185459441,-0.0359194017105789,-0.0395781254464801,1,1790
"464689","2016-01-28 22:00:00+00:00","GOOG.O","Alphabet Inc",2676397,730.96,1956339151.12,0.0371447653814125,0.0415994985265598,0.0442434891927028,0.0433938563434968,-0.0149728987009307,1,1788
"466910","2016-01-29 22:00:00+00:00","GOOG.O","Alphabet Inc",3474319,742.95,2581245301.05,-0.0122264206126701,0.0284590882628663,0.0164030863521945,0.0394979852249833,-0.0310097666830038,1,1793
"468258","2016-02-01 22:00:00+00:00","GOOG.O","Alphabet Inc",5139157,752,3864646064,0.0126961511499993,0.04460901132445,0.0121811696614846,0.0828713370293037,-0.0847750924837251,1,1798
"469310","2016-02-02 22:00:00+00:00","GOOG.O","Alphabet Inc",6348126,764.65,4854094545.9,0.0360400281164111,0.0743642590902656,0.0168218085106382,0.0895709542740706,-0.091378647498066,1,1803
"471872","2016-02-03 22:00:00+00:00","GOOG.O","Alphabet Inc",6171019,726.95,4486022262.05,-0.0537700057683038,0.00420443624299182,-0.0493036029556005,0.0408046388431527,-0.0415995689200717,1,1808
"472807","2016-02-04 22:00:00+00:00","GOOG.O","Alphabet Inc",5168709,708.01,3659497659.09,-0.0273840202086637,-0.0281235109759679,-0.0260540614897862,0.00200965199054615,-0.00408464297290797,1,1808
